design	CC	CS	development_CC	development_CS	delta_CC_deg	delta_CS_360_deg	delta_CS_120_deg	euclidean_degrees_360_360	euclidean_degrees_360_120	normalized_torus_distance_360_120	normalized_torus_distance_360_360	mirror_quotient_distance_360_120
OLD_HELDOUT	210	20	300	90	90.0	70.0	50.0	114.0175425099138	102.95630140987001	0.4859126579037751	0.31671539586087166	0.42491829279939874
OLD_HELDOUT	210	100	60	30	150.0	70.0	50.0	165.5294535724685	158.11388300841898	0.5892556509887896	0.45980403770130135	0.26352313834736496
OLD_HELDOUT	210	100	60	90	150.0	10.0	10.0	150.33296378372907	150.33296378372907	0.42491829279939874	0.41759156606591413	0.42491829279939874
OLD_HELDOUT	210	100	180	30	30.0	70.0	50.0	76.15773105863909	58.309518948453004	0.42491829279939874	0.21154925294066412	0.11785113019775792
OLD_HELDOUT	210	100	180	90	30.0	10.0	10.0	31.622776601683793	31.622776601683793	0.11785113019775792	0.08784104611578832	0.11785113019775792
OLD_HELDOUT	210	100	300	30	90.0	70.0	50.0	114.0175425099138	102.95630140987001	0.4859126579037751	0.31671539586087166	0.42491829279939874
OLD_HELDOUT	210	100	300	90	90.0	10.0	10.0	90.55385138137417	90.55385138137417	0.26352313834736496	0.2515384760593727	0.26352313834736496
REVISED_HELDOUT	90	60	60	30	30.0	30.0	30.0	42.42640687119285	42.42640687119285	0.26352313834736496	0.11785113019775792	0.26352313834736496
REVISED_HELDOUT	90	60	60	90	30.0	30.0	30.0	42.42640687119285	42.42640687119285	0.26352313834736496	0.11785113019775792	0.26352313834736496
REVISED_HELDOUT	90	60	180	30	90.0	30.0	30.0	94.86832980505137	94.86832980505137	0.3535533905932738	0.26352313834736496	0.3535533905932738
REVISED_HELDOUT	90	60	180	90	90.0	30.0	30.0	94.86832980505137	94.86832980505137	0.3535533905932738	0.26352313834736496	0.3535533905932738
REVISED_HELDOUT	90	60	300	30	150.0	30.0	30.0	152.97058540778355	152.97058540778355	0.4859126579037751	0.42491829279939874	0.26352313834736496
REVISED_HELDOUT	90	60	300	90	150.0	30.0	30.0	152.97058540778355	152.97058540778355	0.4859126579037751	0.42491829279939874	0.26352313834736496
REVISED_HELDOUT	210	0	60	30	150.0	30.0	30.0	152.97058540778355	152.97058540778355	0.4859126579037751	0.42491829279939874	0.3535533905932738
REVISED_HELDOUT	210	0	60	90	150.0	90.0	30.0	174.92855684535903	152.97058540778355	0.4859126579037751	0.4859126579037751	0.3535533905932738
REVISED_HELDOUT	210	0	180	30	30.0	30.0	30.0	42.42640687119285	42.42640687119285	0.26352313834736496	0.11785113019775792	0.26352313834736496
REVISED_HELDOUT	210	0	180	90	30.0	90.0	30.0	94.86832980505137	42.42640687119285	0.26352313834736496	0.26352313834736496	0.26352313834736496
REVISED_HELDOUT	210	0	300	30	90.0	30.0	30.0	94.86832980505137	94.86832980505137	0.3535533905932738	0.26352313834736496	0.3535533905932738
REVISED_HELDOUT	210	0	300	90	90.0	90.0	30.0	127.27922061357856	94.86832980505137	0.3535533905932738	0.3535533905932738	0.3535533905932738
REVISED_HELDOUT	330	60	60	30	90.0	30.0	30.0	94.86832980505137	94.86832980505137	0.3535533905932738	0.26352313834736496	0.26352313834736496
REVISED_HELDOUT	330	60	60	90	90.0	30.0	30.0	94.86832980505137	94.86832980505137	0.3535533905932738	0.26352313834736496	0.26352313834736496
REVISED_HELDOUT	330	60	180	30	150.0	30.0	30.0	152.97058540778355	152.97058540778355	0.4859126579037751	0.42491829279939874	0.4859126579037751
REVISED_HELDOUT	330	60	180	90	150.0	30.0	30.0	152.97058540778355	152.97058540778355	0.4859126579037751	0.42491829279939874	0.4859126579037751
REVISED_HELDOUT	330	60	300	30	30.0	30.0	30.0	42.42640687119285	42.42640687119285	0.26352313834736496	0.11785113019775792	0.26352313834736496
REVISED_HELDOUT	330	60	300	90	30.0	30.0	30.0	42.42640687119285	42.42640687119285	0.26352313834736496	0.11785113019775792	0.26352313834736496
REVISED_HELDOUT	270	0	60	30	150.0	30.0	30.0	152.97058540778355	152.97058540778355	0.4859126579037751	0.42491829279939874	0.26352313834736496
REVISED_HELDOUT	270	0	60	90	150.0	90.0	30.0	174.92855684535903	152.97058540778355	0.4859126579037751	0.4859126579037751	0.26352313834736496
REVISED_HELDOUT	270	0	180	30	90.0	30.0	30.0	94.86832980505137	94.86832980505137	0.3535533905932738	0.26352313834736496	0.3535533905932738
REVISED_HELDOUT	270	0	180	90	90.0	90.0	30.0	127.27922061357856	94.86832980505137	0.3535533905932738	0.3535533905932738	0.3535533905932738
REVISED_HELDOUT	270	0	300	30	30.0	30.0	30.0	42.42640687119285	42.42640687119285	0.26352313834736496	0.11785113019775792	0.26352313834736496
REVISED_HELDOUT	270	0	300	90	30.0	90.0	30.0	94.86832980505137	42.42640687119285	0.26352313834736496	0.26352313834736496	0.26352313834736496
